city,listing_type,total_listings,ttm_revenue_mean,ttm_revenue_median,ttm_revenue_sum,ttm_occupancy_mean,bedrooms_mean,amenity_count_mean
Ajaccio,Private room in apartment,1,22522.0,22522.0,22522.0,0.493,1.0,24.0
Ajaccio,Private room in bed and breakfast,8,3170.375,3033.0,25363.0,0.11762500000000001,0.125,29.0
Ajaccio,Private room in condo,1,9929.0,9929.0,9929.0,0.37,0.0,32.0
Ajaccio,Private room in home,1,4168.0,4168.0,4168.0,0.156,0.0,39.0
Ajaccio,Private room in rental unit,6,7973.333333333333,6940.5,47840.0,0.32983333333333337,0.0,15.5
Ajaccio,Room in boutique hotel,1,3039.0,3039.0,3039.0,0.082,1.0,18.0
Ajaccio,Room in hotel,1,16374.0,16374.0,16374.0,0.367,1.0,11.0
Ajaccio,Shepherd’s hut,1,38334.0,38334.0,38334.0,0.671,1.0,38.0
Alanya,Entire condo,61,6462.6557377049185,4282.0,394222.0,0.19740983606557377,1.459016393442623,49.278688524590166
Alanya,Entire guesthouse,2,5588.5,5588.5,11177.0,0.21100000000000002,2.0,56.5
Alanya,Entire home,14,8721.357142857143,5337.0,122099.0,0.26571428571428574,2.0,29.5
Alanya,Entire loft,1,260.0,260.0,260.0,0.033,2.0,35.0
Alanya,Entire rental unit,127,6956.834645669292,3314.0,883518.0,0.22689763779527558,1.5826771653543308,38.09448818897638
Alanya,Entire serviced apartment,42,5626.214285714285,3303.0,236301.0,0.17573809523809525,1.5,43.666666666666664
Alanya,Entire vacation home,4,2646.5,2427.0,10586.0,0.10825000000000001,2.0,34.75
Alanya,Entire villa,27,14022.777777777777,11155.0,378615.0,0.17355555555555555,3.5185185185185186,46.81481481481482
Alanya,Private room in bed and breakfast,1,2817.0,2817.0,2817.0,0.055,1.0,42.0
Alanya,Private room in condo,2,1684.0,1684.0,3368.0,0.14550000000000002,0.0,39.0
Alanya,Room in aparthotel,9,5072.444444444444,4844.0,45652.0,0.20122222222222222,1.0,25.0
Alanya,Room in boutique hotel,3,3065.6666666666665,2842.0,9197.0,0.07033333333333333,1.0,27.0
Alanya,Room in hotel,1,1104.0,1104.0,1104.0,0.096,1.0,12.0
Albufeira,Entire bungalow,2,25957.5,25957.5,51915.0,0.293,3.5,52.5
Albufeira,Entire condo,41,19175.536585365855,16735.0,786197.0,0.37934146341463415,1.5121951219512195,41.78048780487805
Albufeira,Entire cottage,2,76598.5,76598.5,153197.0,0.4455,4.0,49.5
Albufeira,Entire guesthouse,4,16320.0,17585.5,65280.0,0.254,2.25,47.5
Albufeira,Entire home,43,60528.813953488374,29441.0,2602739.0,0.3281860465116279,3.697674418604651,42.02325581395349
Albufeira,Entire loft,3,60864.0,64291.0,182592.0,0.622,1.0,63.0
Albufeira,Entire rental unit,146,18160.260273972603,15661.0,2651398.0,0.3662739726027397,1.4726027397260273,33.91095890410959
Albufeira,Entire serviced apartment,13,15237.307692307691,15311.0,198085.0,0.307,1.3846153846153846,51.15384615384615
Albufeira,Entire townhouse,14,19527.928571428572,15202.5,273391.0,0.2595,2.4285714285714284,38.07142857142857
Albufeira,Entire vacation home,1,7488.0,7488.0,7488.0,0.132,1.0,33.0
Albufeira,Entire villa,22,81317.04545454546,78145.0,1788975.0,0.42036363636363633,4.045454545454546,53.18181818181818
Albufeira,Private room in guesthouse,4,6785.0,6107.0,27140.0,0.25125,1.0,22.5
Albufeira,Private room in home,1,12802.0,12802.0,12802.0,0.529,0.0,58.0
Albufeira,Private room in hostel,1,2178.0,2178.0,2178.0,0.044,4.0,15.0
Albufeira,Private room in rental unit,2,10956.0,10956.0,21912.0,0.5549999999999999,0.0,67.0
Albufeira,Shared room in hostel,1,469.0,469.0,469.0,0.041,0.0,11.0
Alcúdia,Entire chalet,20,47848.5,37685.5,956970.0,0.35655000000000003,3.65,42.15
Alcúdia,Entire condo,8,25364.375,16272.0,202915.0,0.27737500000000004,1.75,46.625
Alcúdia,Entire cottage,3,45805.333333333336,44009.0,137416.0,0.25933333333333336,3.0,47.666666666666664
Alcúdia,Entire guesthouse,2,10457.0,10457.0,20914.0,0.27,1.5,55.5
Alcúdia,Entire home,73,53542.82191780822,40727.0,3908626.0,0.3708630136986301,3.287671232876712,39.35616438356164
Alcúdia,Entire rental unit,62,47028.72580645161,34493.0,2915781.0,0.4555322580645161,2.1774193548387095,41.46774193548387
Alcúdia,Entire serviced apartment,1,19667.0,19667.0,19667.0,0.422,2.0,47.0
Alcúdia,Entire townhouse,8,65702.875,53527.0,525623.0,0.318,3.25,51.375
Alcúdia,Entire villa,38,86184.55263157895,67250.0,3275013.0,0.42528947368421055,3.8421052631578947,43.526315789473685
Alcúdia,Private room in chalet,2,22791.5,22791.5,45583.0,0.22449999999999998,1.5,57.5
Alcúdia,Room in serviced apartment,1,4349.0,4349.0,4349.0,0.052,2.0,14.0
Alghero,Boat,2,3108.0,3108.0,6216.0,0.035500000000000004,2.5,25.0
